Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-12-27,48.3513,48.601,48.157,48.1668,156231.34348806
2016-12-28,47.9812,48.8147,47.8879,48.769,86474.951352845
2016-12-29,48.769,48.8982,48.1668,48.4621,51547.346909269
2016-12-30,48.6292,48.6292,48.2309,48.3513,260615.80178756
2017-01-02,48.3513,48.6845,48.3513,48.5184,30857.589473343
2017-01-03,48.5466,48.9168,47.61,48.3056,164870.60389402
2017-01-04,48.3513,48.4903,47.7684,48.0823,86215.557379021
2017-01-05,47.8879,48.8147,47.7772,48.3513,84529.496549168
2017-01-09,48.3971,48.8051,47.7314,48.8051,141108.26307768
2017-01-10,48.3513,49.8329,48.3513,49.0925,200904.75009101
2017-01-11,49.2684,51.7593,49.2684,50.4361,427066.44437133
2017-01-12,50.9365,51.9916,50.5557,50.8062,291173.8529816
2017-01-13,51.4086,51.5932,49.3248,49.9359,183904.15139391
2017-01-16,49.9359,51.2881,49.9359,50.9365,172544.34228631
2017-01-17,51.1763,51.3989,50.7228,51.0938,177389.45115451
2017-01-18,51.4911,51.4911,50.7772,51.0103,154249.86174357
2017-01-19,51.0375,52.0848,50.8617,52.0848,269838.69863462
2017-01-20,52.418,54.1784,52.1488,54.1307,260066.13360493
2017-01-23,54.2891,56.0397,52.9922,54.7885,375387.34179282
2017-01-24,54.8351,55.1683,53.9092,55.1129,144030.56264787
2017-01-25,55.1129,55.7424,54.3074,55.2335,138830.33107739
2017-01-26,55.5763,55.6696,54.6504,55.1227,259161.34272005
2017-01-27,55.2888,55.2888,54.2055,54.8826,81186.196442109
2017-01-30,54.6504,54.7981,54.4183,54.6504,115055.63816708
2017-01-31,54.465,54.6039,53.2612,54.3251,135876.12193107
2017-02-01,54.5572,55.1032,54.465,54.6504,122361.9017631
2017-02-02,54.6504,55.419,53.372,54.6504,270338.95844128
2017-02-03,54.6504,55.0021,53.9744,54.4378,105865.68023732
2017-02-06,54.465,55.5579,54.465,55.2974,136085.07818777
2017-02-07,55.5665,57.2443,55.4656,57.2443,232502.43586267
2017-02-08,57.2443,61.1157,57.2443,58.8191,405029.27934916
2017-02-09,60.0218,60.291,59.3749,59.9209,199443.08563533
2017-02-10,60.1161,62.3672,59.9209,61.7453,273546.38551443
2017-02-13,62.0601,64.3664,62.0601,64.3208,249984.76622545
2017-02-14,64.3752,64.9405,63.4503,64.1905,173182.53380919
2017-02-15,64.5607,64.5607,63.5523,64.3752,117628.99108199
2017-02-16,64.4684,64.4684,63.9137,64.3752,117987.20180774
2017-02-17,64.3752,64.8396,64.0983,64.0983,158702.79162754
2017-02-20,64.3664,64.7463,64.1905,64.7463,121261.53605669
2017-02-21,64.7463,68.9606,64.7375,68.7565,342209.61733139
2017-02-22,71.3224,72.0277,65.8771,67.2479,545903.88198217
2017-02-23,68.0815,69.6378,67.4334,68.8595,202283.03791223
2017-02-24,69.323,69.4696,65.2184,65.7654,342127.27003811
2017-02-27,65.7654,67.4334,65.7557,66.8778,218966.59953022
2017-02-28,67.1547,67.6181,61.2264,65.2563,1080026.9543198
2017-03-01,65.7654,68.6828,65.3476,68.6371,375549.97769704
2017-03-02,69.0073,70.3411,67.6181,68.2476,245268.325003
2017-03-03,68.5255,68.5448,67.1547,67.6181,150066.61924508
2017-03-06,67.6181,67.8775,65.812,65.8577,162591.64255257
2017-03-07,65.5808,68.4515,63.5523,67.8686,446429.38104433
2017-03-08,68.0815,68.5448,66.7845,67.7841,247951.81742267
2017-03-09,67.7841,67.8035,65.9315,67.1547,142304.35751254
2017-03-10,67.1547,68.878,67.1547,67.7841,140802.54875139
2017-03-13,68.267,68.6275,66.8593,67.6181,136054.19795279
2017-03-14,68.0815,68.6371,67.7103,68.6371,176222.1782723
2017-03-15,69.0073,70.3878,68.1454,68.5255,319351.03805878
2017-03-16,69.6562,70.7676,69.3783,70.3974,197468.80927902
2017-03-17,70.8599,71.3224,70.3974,71.3224,253110.87534649
2017-03-20,71.3224,71.6934,70.3974,70.8501,148263.21352231
2017-03-21,70.8501,70.8501,69.9244,70.6559,205493.55300889
2017-03-22,69.8408,69.8408,67.1547,68.4515,300323.66660588
2017-03-23,68.0901,70.6743,68.0901,70.174,111150.31778339
2017-03-24,70.1652,70.6287,69.2667,70.1187,115657.80274916
2017-03-27,69.017,70.0273,68.2205,68.6371,87511.497906974
2017-03-28,69.1559,69.7019,67.2479,67.8035,185183.6224632
2017-03-29,67.8035,68.5255,67.1547,67.2576,132722.22059855
2017-03-30,69.0549,71.5914,67.6374,69.0073,416042.20048384
2017-03-31,69.9331,70.2021,68.267,68.7293,147206.08014486
2017-04-03,69.3687,69.3687,67.9979,68.3408,98125.034669253
2017-04-04,67.9882,68.915,67.9882,68.2573,95426.10213209
2017-04-05,68.3583,69.2667,67.8872,67.8958,134099.47907862
2017-04-06,65.3029,68.0815,65.3029,66.9234,123020.68010932
2017-04-07,66.9234,67.1274,65.7654,66.6921,123416.97645821
2017-04-10,66.5067,66.6921,63.6252,63.8292,311312.91289374
2017-04-11,63.9137,64.5053,60.9303,61.5044,1020630.8810201
2017-04-12,61.0507,62.8013,61.041,61.3655,454104.14877777
2017-04-13,61.4112,61.9494,57.6233,60.0218,548494.7336969
2017-04-18,60.4862,63.8107,60.2357,61.5967,340294.01342153
2017-04-19,62.0601,64.8852,61.8745,64.8852,246077.38715944
2017-04-20,65.7654,66.5989,63.0793,63.5523,203596.47724001
2017-04-21,63.5241,64.0983,61.6434,61.791,256682.6891924
2017-04-24,62.339,62.848,60.9496,61.8288,141286.33909939
2017-04-25,62.0601,62.4312,60.1161,60.9496,292533.61266184
2017-04-26,60.6709,60.6709,58.8191,60.3007,360275.58413527
2017-04-27,60.2075,62.644,59.9393,62.4681,182877.89825143
2017-04-28,62.6993,63.1258,62.4312,62.7916,208259.39272183
2017-05-02,63.4222,65.9509,62.8111,63.9137,190927.34616929
2017-05-04,64.82,65.0989,61.1625,62.644,191809.49154853
2017-05-05,61.3198,63.4406,61.1711,62.4399,203589.27185185
2017-05-08,62.9859,63.4503,61.5967,61.5967,95095.683617815
2017-05-09,61.6705,62.5137,60.7826,61.1343,208257.3340395
2017-05-10,61.1343,63.6718,60.8098,63.6718,223855.97006857
2017-05-11,63.8389,64.0983,62.5516,62.9957,81721.453848412
2017-05-12,62.302,63.4406,62.1533,62.339,99614.491336408
2017-05-15,63.7271,63.7271,61.7181,62.1533,214969.66778277
2017-05-16,61.2354,62.5614,61.1343,61.4394,159427.44780839
2017-05-17,61.1343,61.3655,59.745,60.7631,240874.06756548
2017-05-18,60.7175,61.791,59.745,60.6709,212241.91369296
2017-05-19,61.2733,61.6803,60.7263,61.3101,193619.07331829
2017-05-22,61.5967,64.3576,61.5967,63.8204,252725.90175043
2017-05-23,64.3664,64.3664,62.9412,63.9137,183069.3557083
2017-05-24,65.024,67.5247,65.024,66.22,710573.76434882
2017-05-25,68.5536,70.3042,68.1736,68.1736,546178.71607348
2017-05-26,68.4059,68.9975,66.9972,67.6181,176956.09852363
2017-05-29,68.4166,70.2216,67.8629,70.0146,390520.71561486
2017-05-30,70.277,73.7647,70.0146,72.9282,642581.66297207
2017-05-31,72.4288,74.234,71.7439,74.1785,532000.57085346
2017-06-01,74.1495,77.0629,73.4917,77.0629,537980.01368655
2017-06-02,77.2504,77.8994,76.1234,77.0629,254561.21704935
