Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-12-27,4.23606,4.29275,4.23606,4.28465,632650.04528709
2016-12-28,4.27656,4.31705,4.26035,4.31705,1824552.0781422
2016-12-29,4.29275,4.39805,4.29275,4.36565,2226448.0823569
2016-12-30,4.38994,4.46284,4.36565,4.46284,2789297.8081575
2017-01-02,4.48714,4.48714,4.41425,4.43854,558935.91996754
2017-01-03,4.45475,4.56813,4.42234,4.51954,2919813.9728971
2017-01-04,4.55194,4.56004,4.44665,4.49524,2282389.5783493
2017-01-05,4.51145,4.54383,4.46284,4.52764,3094674.6689005
2017-01-09,4.52764,4.54383,4.49524,4.53574,1733588.8104587
2017-01-10,4.53574,4.57624,4.51145,4.56004,3546751.3432348
2017-01-11,4.57624,4.61674,4.51954,4.56813,3939982.650498
2017-01-12,4.56813,4.56813,4.51145,4.53574,3346584.2503354
2017-01-13,4.55194,4.55194,4.49524,4.53574,2709783.348515
2017-01-16,4.55194,4.60863,4.50334,4.50334,1787809.2195957
2017-01-17,4.52764,4.55194,4.47094,4.51954,1000818.1795499
2017-01-18,4.55194,4.55194,4.39805,4.40615,1829421.4946108
2017-01-19,4.40615,4.43854,4.33325,4.37375,2486668.019332
2017-01-20,4.38994,4.43854,4.35755,4.41425,1758319.8655508
2017-01-23,4.38994,4.39805,4.34136,4.35755,1076554.6436564
2017-01-24,4.35755,4.38185,4.33325,4.38185,1602330.6276415
2017-01-25,4.40615,4.45475,4.36565,4.43044,1754323.3389004
2017-01-26,4.43854,4.47904,4.37375,4.42234,5461871.6045599
2017-01-27,4.40615,4.42234,4.37375,4.38185,2828329.6875286
2017-01-30,4.37375,4.39805,4.31705,4.34944,2642328.8432502
2017-01-31,4.34136,4.37375,4.27656,4.37375,3829330.59366
2017-02-01,4.37375,4.37375,4.30086,4.30895,2682511.406229
2017-02-02,4.31705,4.35755,4.24415,4.25225,2174722.8787682
2017-02-03,4.25225,4.25225,4.17936,4.22796,3235000.041004
2017-02-06,4.22796,4.24415,4.17936,4.19556,4006030.9018688
2017-02-07,4.19556,4.25225,4.19556,4.21175,2132469.8260789
2017-02-08,4.26035,4.26035,4.18746,4.21175,4911189.2467356
2017-02-09,4.22796,4.50334,4.21986,4.48714,9626189.4076362
2017-02-10,4.48714,4.50334,4.40615,4.41425,6731832.4576009
2017-02-13,4.43854,4.56813,4.39805,4.56813,3911126.6662929
2017-02-14,4.04167,4.18746,3.87158,4.04977,51265261.028873
2017-02-15,4.04977,4.05786,3.94448,3.94448,18864179.896834
2017-02-16,3.95257,3.97687,3.90398,3.93638,10125707.088007
2017-02-17,3.93638,3.94448,3.90398,3.92017,7048085.2538592
2017-02-20,3.92017,3.92827,3.90398,3.91207,2337540.9053408
2017-02-21,3.92827,3.92827,3.84728,3.92017,6054320.5672822
2017-02-22,3.92017,3.92017,3.87967,3.91207,2983446.0356196
2017-02-23,3.91207,3.91207,3.85538,3.85538,4017489.5870223
2017-02-24,3.85538,3.86347,3.79059,3.79059,10065238.170567
2017-02-27,3.81487,3.83109,3.78248,3.79868,2605645.2473789
2017-02-28,3.80678,3.83109,3.75818,3.83109,4963047.7913432
2017-03-01,3.83109,3.84728,3.75009,3.81487,7890505.4146859
2017-03-02,3.81487,3.92017,3.79059,3.80678,7485161.0635652
2017-03-03,3.78248,3.83917,3.77438,3.82298,3817881.785619
2017-03-06,3.80678,3.82298,3.77438,3.79868,4086675.056255
2017-03-07,3.79868,3.83917,3.76628,3.83917,4135079.0807613
2017-03-08,3.82298,3.83109,3.74198,3.78248,5918894.2429849
2017-03-09,3.78248,3.79059,3.75009,3.79059,4033636.1967021
2017-03-10,3.80678,3.81487,3.75818,3.75818,4491141.5790011
2017-03-13,3.77438,3.79059,3.72579,3.78248,4283581.4673861
2017-03-14,3.78248,3.84728,3.76628,3.83109,4896010.594082
2017-03-15,3.83917,3.87967,3.79868,3.81487,3037603.4781644
2017-03-16,3.84728,3.88778,3.83109,3.87158,6367094.150658
2017-03-17,3.89588,3.92827,3.83917,3.83917,10657846.401728
2017-03-20,3.86347,3.94448,3.83917,3.93638,2618989.2263832
2017-03-21,3.95257,4.04167,3.87158,3.87967,7934373.3752709
2017-03-22,3.87967,3.92017,3.84728,3.89588,3080926.9629222
2017-03-23,3.91207,3.91207,3.84728,3.86347,2417517.1199932
2017-03-24,3.87158,3.88778,3.83917,3.83917,1598772.3978589
2017-03-27,3.83917,3.85538,3.79059,3.82298,1630427.3088222
2017-03-28,3.83109,3.85538,3.82298,3.83109,1205943.5829305
2017-03-29,3.85538,3.87158,3.80678,3.80678,3129731.0104853
2017-03-30,3.79868,3.81487,3.74198,3.74198,3179677.0991828
2017-03-31,3.75818,3.76628,3.69338,3.75009,6729216.2574242
2017-04-03,3.75818,3.76628,3.71769,3.74198,2237312.9061205
2017-04-04,3.75818,3.84728,3.72579,3.76628,2125233.6065245
2017-04-05,3.79868,3.80678,3.73388,3.73388,1674197.7329212
2017-04-06,3.73388,3.80678,3.70959,3.75818,2529454.4360969
2017-04-07,3.76628,3.77438,3.72579,3.72579,1081078.3611871
2017-04-10,3.75009,3.75818,3.71769,3.72579,1479479.1022115
2017-04-11,3.72579,3.75009,3.68529,3.70959,2507788.9898008
