Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-12-27,18.6805,18.7378,18.5142,18.537,828465.79936538
2016-12-28,18.537,18.765,18.5033,18.5033,2625419.116389
2016-12-29,18.5033,18.9659,18.4797,18.9534,4877760.1951838
2016-12-30,19.0238,19.36,18.9437,18.971,2972406.344834
2017-01-02,19.0915,19.1085,18.7827,19.0238,1004813.6695114
2017-01-03,19.0401,19.3548,18.9534,19.3203,3638965.5307981
2017-01-04,19.3371,19.4798,18.9084,18.9489,4865281.154398
2017-01-05,18.9489,19.0518,18.7378,18.7481,5023138.2327157
2017-01-09,18.7776,19.2798,18.6003,19.2798,5905247.4536749
2017-01-10,19.2849,19.6453,19.257,19.5937,4022083.0974456
2017-01-11,19.5937,19.7078,19.4512,19.7078,3258181.4101559
2017-01-12,19.5937,19.685,19.251,19.251,3120128.706907
2017-01-13,19.2342,19.4394,19.0401,19.2056,2448064.9816486
2017-01-16,19.257,19.9879,19.2342,19.9828,3616848.1069795
2017-01-17,19.8858,20.1079,19.657,19.657,3276787.7864308
2017-01-18,19.8791,19.9086,19.4849,19.5937,2356877.0121525
2017-01-19,19.5085,19.7886,19.4916,19.6108,1630764.6398287
2017-01-20,19.6108,19.9255,19.6004,19.8158,4238677.4719114
2017-01-23,19.7144,19.9144,19.6108,19.7886,699139.04192926
2017-01-24,19.76,19.8688,19.657,19.8519,2566231.7208075
2017-01-25,19.8519,20.4278,19.8519,20.3939,4567629.4472296
2017-01-26,20.4513,20.5484,20.1828,20.28,2975820.8453693
2017-01-27,20.2285,20.3542,20.1145,20.2225,1910054.7377856
2017-01-30,20.2225,20.2285,19.9946,20.0792,1977186.1843937
2017-01-31,20.0512,20.2395,19.9946,20.1079,2668348.5396877
2017-02-01,20.1881,20.3821,20.1881,20.28,2516465.1375358
2017-02-02,20.28,20.3998,20.1424,20.2225,1694238.1786549
2017-02-03,20.1938,20.4226,20.1365,20.4226,2220148.7706803
2017-02-06,20.5079,20.5359,20.3373,20.5028,1402598.2225288
2017-02-07,20.4911,20.6793,20.3939,20.5704,3897967.1588273
